Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Jonathan Taylor*+,IND,22,RB,17,17,332,1811,18,107,83,5.5,106.5,4
Najee Harris*,PIT,23,RB,17,17,307,1200,7,62,37,3.9,70.6,0
Joe Mixon*,CIN,25,RB,16,16,292,1205,13,60,32,4.1,75.3,2
Antonio Gibson,WAS,23,RB,16,14,258,1037,7,65,27,4.0,64.8,6
Dalvin Cook*,MIN,26,RB,13,13,249,1159,6,57,66,4.7,89.2,3
Ezekiel Elliott,DAL,26,RB,17,17,237,1002,10,55,47,4.2,58.9,1
Nick Chubb*,CLE,26,RB,14,14,228,1259,8,61,70,5.5,89.9,2
David Montgomery,CHI,24,RB,13,13,225,849,7,55,41,3.8,65.3,1
Josh Jacobs,LVR,23,RB,15,14,217,872,9,45,28,4.0,58.1,2
Austin Ekeler,LAC,26,RB,16,16,206,911,12,53,28,4.4,56.9,4
Melvin Gordon,DEN,28,RB,16,16,203,918,8,48,70,4.5,57.4,3
Damien Harris,NWE,24,RB,15,15,202,929,15,55,64,4.6,61.9,2
Devin Singletary,BUF,24,RB,17,16,188,870,7,44,46,4.6,51.2,5
Leonard Fournette,TAM,26,RB,14,13,180,812,8,45,47,4.5,58.0,1
Aaron Jones,GNB,27,RB,15,15,171,799,4,37,57,4.7,53.3,2
James Robinson,JAX,23,RB,14,13,164,767,8,41,58,4.7,54.8,4
Saquon Barkley,NYG,24,RB,13,13,162,593,2,27,41,3.7,45.6,2
Cordarrelle Patterson,ATL,30,RB,16,13,153,618,6,29,39,4.0,38.6,2
Jamaal Williams,DET,26,RB,13,11,153,601,3,42,20,3.9,46.2,1
Michael Carter,NYJ,22,RB,14,11,147,639,4,29,55,4.3,45.6,1
Jalen Hurts,PHI,23,QB,15,15,139,784,10,56,31,5.6,52.3,9
Miles Sanders,PHI,24,RB,12,12,137,754,0,33,38,5.5,62.8,1
Lamar Jackson*,BAL,24,QB,12,12,133,767,2,48,31,5.8,63.9,6
Josh Allen,BUF,25,QB,17,17,122,763,6,54,34,6.3,44.9,8
Chase Edmonds,ARI,25,RB,12,11,116,592,2,32,54,5.1,49.3,1
Kyler Murray*,ARI,24,QB,14,14,88,423,5,25,57,4.8,30.2,13
Trevor Lawrence,JAX,22,QB,17,17,73,334,2,22,26,4.6,19.6,9
Patrick Mahomes*,KAN,26,QB,17,17,66,381,2,25,32,5.8,22.4,9
Justin Herbert*,LAC,23,QB,17,17,63,302,3,28,36,4.8,17.8,1
Daniel Jones,NYG,24,QB,11,11,62,298,2,16,46,4.8,27.1,7
Taylor Heinicke,WAS,28,QB,16,15,60,313,1,20,38,5.2,19.6,7
Deebo Samuel*+,SFO,25,WR,16,15,59,365,8,21,49,6.2,22.8,4
Carson Wentz,IND,29,QB,17,17,57,215,1,21,18,3.8,12.6,8
Ryan Tannehill,TEN,33,QB,17,17,55,270,7,33,28,4.9,15.9,10
Sam Darnold,CAR,24,QB,12,11,48,222,5,20,30,4.6,18.5,9
Dak Prescott,DAL,28,QB,16,16,48,146,1,7,21,3.0,9.1,14
Mac Jones*,NWE,23,QB,17,17,44,129,0,22,13,2.9,7.6,7
Russell Wilson*,SEA,33,QB,14,14,43,183,2,17,17,4.3,13.1,6
Tua Tagovailoa,MIA,23,QB,13,12,42,128,3,13,23,3.0,9.8,9
Joe Burrow,CIN,25,QB,16,16,40,118,2,14,12,3.0,7.4,5
Derek Carr,LVR,30,QB,17,17,40,108,0,9,22,2.7,6.4,13
Matt Ryan,ATL,36,QB,17,17,40,82,1,9,17,2.1,4.8,11
Jimmy Garoppolo,SFO,30,QB,15,15,38,51,3,15,7,1.3,3.4,8
Baker Mayfield,CLE,26,QB,14,14,37,134,1,12,14,3.6,9.6,6
Aaron Rodgers*+,GNB,38,QB,16,16,33,101,3,10,18,3.1,6.3,3
Matthew Stafford,LAR,33,QB,17,17,32,43,0,8,12,1.3,2.5,5
Teddy Bridgewater,DEN,29,QB,14,14,30,106,2,16,13,3.5,7.6,1
Kirk Cousins*,MIN,33,QB,16,16,29,115,1,8,29,4.0,7.2,12
Zach Wilson,NYJ,22,QB,13,13,29,185,4,10,52,6.4,14.2,5
Tom Brady*,TAM,44,QB,17,17,28,81,2,14,13,2.9,4.8,4
Davis Mills,HOU,23,QB,13,11,18,44,0,5,11,2.4,3.4,5
Jared Goff,DET,27,QB,14,14,17,87,0,4,26,5.1,6.2,9
Chase Claypool,PIT,23,WR,15,13,14,96,0,7,25,6.9,6.4,0
Jalen Reagor,PHI,22,WR,17,13,10,32,0,3,12,3.2,1.9,2
Tyreek Hill*,KAN,27,WR,17,16,9,96,0,4,33,10.7,5.6,2
CeeDee Lamb*,DAL,22,WR,16,13,9,76,0,4,33,8.4,4.8,0
Jonnu Smith,NWE,26,TE,16,11,9,40,0,2,9,4.4,2.5,1
Kyle Juszczyk*,SFO,30,FB,17,16,8,22,1,3,6,2.8,1.3,0
D.J. Moore,CAR,24,WR,17,17,8,48,0,4,14,6.0,2.8,1
Ja'Marr Chase*,CIN,21,WR,17,17,7,21,0,2,10,3.0,1.2,2
Justin Jefferson*,MIN,22,WR,17,17,6,14,0,1,11,2.3,0.8,1
Darnell Mooney,CHI,24,WR,17,14,6,32,1,2,15,5.3,1.9,0
Brandon Aiyuk,SFO,23,WR,17,16,5,17,0,0,8,3.4,1.0,2
Diontae Johnson*,PIT,25,WR,16,14,5,53,0,2,25,10.6,3.3,2
Michael Pittman Jr.,IND,24,WR,17,17,5,44,0,1,25,8.8,2.6,1
Chris Godwin,TAM,25,WR,14,14,4,21,1,4,9,5.3,1.5,2
Cooper Kupp*+,LAR,28,WR,17,17,4,18,0,1,18,4.5,1.1,0
Kalif Raymond,DET,27,WR,16,14,4,28,0,2,13,7.0,1.8,0
Nelson Agholor,NWE,28,WR,15,13,3,11,0,0,6,3.7,0.7,0
Robby Anderson,CAR,28,WR,17,16,3,36,0,1,30,12.0,2.1,0
George Kittle*,SFO,28,TE,14,14,3,20,0,0,9,6.7,1.4,2
Allen Lazard,GNB,26,WR,15,13,3,32,0,2,14,10.7,2.1,0
Tommy Tremble,CAR,21,TE,16,11,3,11,1,1,7,3.7,0.7,0
A.J. Brown,TEN,24,WR,13,13,2,10,0,1,7,5.0,0.8,0
Brandin Cooks,HOU,28,WR,16,16,2,21,0,1,16,10.5,1.3,0
Van Jefferson,LAR,25,WR,17,17,2,20,0,1,10,10.0,1.2,0
Travis Kelce*,KAN,32,TE,16,16,2,3,1,1,4,1.5,0.2,1
Tyler Lockett,SEA,29,WR,16,16,2,9,0,0,7,4.5,0.6,0
Zach Pascal,IND,27,WR,16,13,2,21,0,0,12,10.5,1.3,1
Patrick Ricard*,BAL,27,FB,13,11,2,4,0,2,2,2.0,0.3,0
Emmanuel Sanders,BUF,34,WR,14,13,2,31,0,2,24,15.5,2.2,0
Durham Smythe,MIA,26,TE,17,12,2,3,0,2,2,1.5,0.2,0
Jaylen Waddle,MIA,23,WR,16,16,2,3,1,1,2,1.5,0.2,2
Marquise Brown,BAL,24,WR,16,16,1,5,0,1,5,5.0,0.3,3
Bryan Edwards,LVR,23,WR,16,12,1,0,0,0,0,0.0,0.0,1
Evan Engram,NYG,27,TE,15,12,1,-3,0,0,-3,-3.0,-0.2,1
Mike Evans*,TAM,28,WR,16,16,1,10,0,1,10,10.0,0.6,0
Christian Kirk,ARI,25,WR,17,11,1,11,0,1,11,11.0,0.6,0
Cole Kmet,CHI,22,TE,17,17,1,0,0,0,0,0.0,0.0,0
Terry McLaurin,WAS,26,WR,17,17,1,12,0,1,12,12.0,0.7,0
D.K. Metcalf,SEA,24,WR,17,17,1,6,0,0,6,6.0,0.4,1
Jakobi Meyers,NWE,25,WR,17,16,1,9,0,0,9,9.0,0.5,1
David Njoku,CLE,25,TE,16,11,1,1,0,0,1,1.0,0.1,0
Adam Thielen,MIN,31,WR,13,13,1,2,0,0,2,2.0,0.2,1
Quez Watkins,PHI,23,WR,17,12,1,3,0,0,3,3.0,0.2,0
